new_bs, i, j, sinr: 7, 4020, -40710, 21.206619
new_bs, i, j, sinr: 7, 4020, -40700, 21.198899
new_bs, i, j, sinr: 7, 4020, -40690, 21.188011
new_bs, i, j, sinr: 7, 4020, -40680, 21.174053
new_bs, i, j, sinr: 7, 4020, -40670, 21.157147
new_bs, i, j, sinr: 7, 4020, -40660, 21.137437
new_bs, i, j, sinr: 7, 4020, -40650, 21.115081
new_bs, i, j, sinr: 7, 4020, -40640, 21.090254
new_bs, i, j, sinr: 7, 4020, -40630, 21.063137
new_bs, i, j, sinr: 7, 4020, -40620, 21.033918
new_bs, i, j, sinr: 7, 4020, -40610, 21.002787
new_bs, i, j, sinr: 7, 4020, -40600, 20.969933
new_bs, i, j, sinr: 7, 4020, -40590, 20.935539
new_bs, i, j, sinr: 7, 4020, -40580, 20.899786
new_bs, i, j, sinr: 7, 4020, -40570, 20.862843
new_bs, i, j, sinr: 7, 4020, -40560, 20.824874
new_bs, i, j, sinr: 7, 4020, -40550, 20.786031
new_bs, i, j, sinr: 7, 4020, -40540, 20.746455
new_bs, i, j, sinr: 7, 4020, -40530, 20.706278
new_bs, i, j, sinr: 7, 4020, -40520, 20.665620
new_bs, i, j, sinr: 7, 4020, -40510, 20.624591
new_bs, i, j, sinr: 7, 4020, -40500, 20.583292
new_bs, i, j, sinr: 7, 4020, -40490, 20.541812
new_bs, i, j, sinr: 7, 4020, -40480, 20.500233
new_bs, i, j, sinr: 7, 4020, -40470, 20.458627
new_bs, i, j, sinr: 7, 4020, -40460, 20.417059
new_bs, i, j, sinr: 7, 4020, -40450, 20.375585
new_bs, i, j, sinr: 7, 4020, -40440, 20.334256
new_bs, i, j, sinr: 7, 4020, -40430, 20.293116
new_bs, i, j, sinr: 7, 4020, -40420, 20.252203
new_bs, i, j, sinr: 7, 4020, -40410, 20.211552
new_bs, i, j, sinr: 7, 4030, -41100, 20.028457
new_bs, i, j, sinr: 7, 4030, -41090, 20.068333
new_bs, i, j, sinr: 7, 4030, -41080, 20.108629
new_bs, i, j, sinr: 7, 4030, -41070, 20.149333
new_bs, i, j, sinr: 7, 4030, -41060, 20.190430
new_bs, i, j, sinr: 7, 4030, -41050, 20.231903
new_bs, i, j, sinr: 7, 4030, -41040, 20.273730
new_bs, i, j, sinr: 7, 4030, -41030, 20.315886
new_bs, i, j, sinr: 7, 4030, -41020, 20.358341
new_bs, i, j, sinr: 7, 4030, -41010, 20.401059
new_bs, i, j, sinr: 7, 4030, -41000, 20.444001
new_bs, i, j, sinr: 7, 4030, -40990, 20.487118
new_bs, i, j, sinr: 7, 4030, -40980, 20.530357
new_bs, i, j, sinr: 7, 4030, -40970, 20.573656
new_bs, i, j, sinr: 7, 4030, -40960, 20.616944
new_bs, i, j, sinr: 7, 4030, -40950, 20.660142
new_bs, i, j, sinr: 7, 4030, -40940, 20.703160
new_bs, i, j, sinr: 7, 4030, -40930, 20.745898
new_bs, i, j, sinr: 7, 4030, -40920, 20.788246
new_bs, i, j, sinr: 7, 4030, -40910, 20.830078
new_bs, i, j, sinr: 7, 4030, -40900, 20.871261
new_bs, i, j, sinr: 7, 4030, -40890, 20.911646
new_bs, i, j, sinr: 7, 4030, -40880, 20.951073
new_bs, i, j, sinr: 7, 4030, -40870, 20.989367
new_bs, i, j, sinr: 7, 4030, -40860, 21.026347
new_bs, i, j, sinr: 7, 4030, -40850, 21.061816
new_bs, i, j, sinr: 7, 4030, -40840, 21.095571
new_bs, i, j, sinr: 7, 4030, -40830, 21.127404
new_bs, i, j, sinr: 7, 4030, -40820, 21.157100
new_bs, i, j, sinr: 7, 4030, -40810, 21.184447
new_bs, i, j, sinr: 5, 4030, -40800, 11.450923
new_bs, i, j, sinr: 5, 4030, -40790, 12.299740
new_bs, i, j, sinr: 5, 4030, -40780, 12.406447
new_bs, i, j, sinr: 5, 4030, -40770, 11.577962
new_bs, i, j, sinr: 7, 4030, -40760, 21.278975
new_bs, i, j, sinr: 7, 4030, -40750, 21.288266
new_bs, i, j, sinr: 7, 4030, -40740, 21.294074
new_bs, i, j, sinr: 7, 4030, -40730, 21.296339
new_bs, i, j, sinr: 7, 4030, -40720, 21.295038
new_bs, i, j, sinr: 7, 4030, -40710, 21.290185
new_bs, i, j, sinr: 7, 4030, -40700, 21.281829
new_bs, i, j, sinr: 7, 4030, -40690, 21.270052
new_bs, i, j, sinr: 7, 4030, -40680, 21.254969
new_bs, i, j, sinr: 7, 4030, -40670, 21.236722
new_bs, i, j, sinr: 7, 4030, -40660, 21.215476
new_bs, i, j, sinr: 7, 4030, -40650, 21.191417
new_bs, i, j, sinr: 7, 4030, -40640, 21.164743
new_bs, i, j, sinr: 7, 4030, -40630, 21.135662
new_bs, i, j, sinr: 7, 4030, -40620, 21.104386
new_bs, i, j, sinr: 7, 4030, -40610, 21.071130
new_bs, i, j, sinr: 7, 4030, -40600, 21.036105
new_bs, i, j, sinr: 7, 4030, -40590, 20.999515
new_bs, i, j, sinr: 7, 4030, -40580, 20.961557
new_bs, i, j, sinr: 7, 4030, -40570, 20.922420
new_bs, i, j, sinr: 7, 4030, -40560, 20.882278
new_bs, i, j, sinr: 7, 4030, -40550, 20.841296
new_bs, i, j, sinr: 7, 4030, -40540, 20.799625
new_bs, i, j, sinr: 7, 4030, -40530, 20.757404
new_bs, i, j, sinr: 7, 4030, -40520, 20.714760
new_bs, i, j, sinr: 7, 4030, -40510, 20.671808
new_bs, i, j, sinr: 7, 4030, -40500, 20.628649
new_bs, i, j, sinr: 7, 4030, -40490, 20.585377
new_bs, i, j, sinr: 7, 4030, -40480, 20.542074
new_bs, i, j, sinr: 7, 4030, -40470, 20.498813
new_bs, i, j, sinr: 7, 4030, -40460, 20.455657
