new_bs, i, j, sinr: 7, 4030, -41050, -20.153257
new_bs, i, j, sinr: 7, 4030, -41040, -19.944122
new_bs, i, j, sinr: 7, 4030, -41030, -19.733342
new_bs, i, j, sinr: 7, 4030, -41020, -19.521067
new_bs, i, j, sinr: 7, 4030, -41010, -19.307474
new_bs, i, j, sinr: 7, 4030, -41000, -19.092766
new_bs, i, j, sinr: 7, 4030, -40990, -18.877179
new_bs, i, j, sinr: 7, 4030, -40980, -18.660984
new_bs, i, j, sinr: 7, 4030, -40970, -18.444491
new_bs, i, j, sinr: 7, 4030, -40960, -18.228051
new_bs, i, j, sinr: 7, 4030, -40950, -18.012062
new_bs, i, j, sinr: 7, 4030, -40940, -17.796971
new_bs, i, j, sinr: 7, 4030, -40930, -17.583279
new_bs, i, j, sinr: 7, 4030, -40920, -17.371542
new_bs, i, j, sinr: 7, 4030, -40910, -17.162378
new_bs, i, j, sinr: 7, 4030, -40900, -16.956463
new_bs, i, j, sinr: 7, 4030, -40890, -16.754539
new_bs, i, j, sinr: 7, 4030, -40880, -16.557408
new_bs, i, j, sinr: 7, 4030, -40870, -16.365933
new_bs, i, j, sinr: 7, 4030, -40860, -16.181037
new_bs, i, j, sinr: 7, 4030, -40850, -16.003692
new_bs, i, j, sinr: 7, 4030, -40840, -15.834914
new_bs, i, j, sinr: 7, 4030, -40830, -15.675751
new_bs, i, j, sinr: 7, 4030, -40820, -15.527270
new_bs, i, j, sinr: 7, 4030, -40810, -15.390537
new_bs, i, j, sinr: 5, 4030, -40800, 18.598164
new_bs, i, j, sinr: 5, 4030, -40790, 22.880419
new_bs, i, j, sinr: 5, 4030, -40780, 23.438683
new_bs, i, j, sinr: 5, 4030, -40770, 19.308102
new_bs, i, j, sinr: 7, 4030, -40760, -14.917898
new_bs, i, j, sinr: 7, 4030, -40750, -14.871439
new_bs, i, j, sinr: 7, 4030, -40740, -14.842401
new_bs, i, j, sinr: 7, 4030, -40730, -14.831076
new_bs, i, j, sinr: 7, 4030, -40720, -14.837579
new_bs, i, j, sinr: 7, 4030, -40710, -14.861844
new_bs, i, j, sinr: 7, 4030, -40700, -14.903626
new_bs, i, j, sinr: 7, 4030, -40690, -14.962510
new_bs, i, j, sinr: 7, 4030, -40680, -15.037926
new_bs, i, j, sinr: 7, 4030, -40670, -15.129161
new_bs, i, j, sinr: 7, 4030, -40660, -15.235388
new_bs, i, j, sinr: 7, 4030, -40650, -15.355684
new_bs, i, j, sinr: 7, 4030, -40640, -15.489055
new_bs, i, j, sinr: 7, 4030, -40630, -15.634461
new_bs, i, j, sinr: 7, 4030, -40620, -15.790838
new_bs, i, j, sinr: 7, 4030, -40610, -15.957118
new_bs, i, j, sinr: 7, 4030, -40600, -16.132246
new_bs, i, j, sinr: 7, 4030, -40590, -16.315196
new_bs, i, j, sinr: 7, 4030, -40580, -16.504983
new_bs, i, j, sinr: 7, 4030, -40570, -16.700671
new_bs, i, j, sinr: 7, 4030, -40560, -16.901380
